                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.71065,                0.92268,                 1.3168,                0.77209,                0.71211,                0.82642,                0.72825,                0.51478,                0.85817,                 1.0545,              0.0012957,              0.0012957,              0.0012957
                     47,                    0.7,                0.93127,                  1.331,                 0.6842,                0.71733,                0.82817,                0.73254,                 0.5086,                 0.8562,                 1.0525,              0.0012874,              0.0012874,              0.0012874
                     48,                 0.7025,                0.94788,                 1.3394,                 0.5096,                0.87333,                0.76508,                0.67398,                0.50575,                 1.0828,                 1.0373,              0.0012792,              0.0012792,              0.0012792
                     49,                0.69007,                0.92051,                 1.3235,                0.74917,                0.75625,                0.84378,                0.73497,                0.56508,                0.80837,                 1.0779,              0.0012709,              0.0012709,              0.0012709
                     50,                0.71168,                0.91937,                  1.337,                0.51487,                0.76948,                0.75091,                0.65649,                0.50404,                 1.6273,                 1.0331,              0.0012627,              0.0012627,              0.0012627
                     51,                0.69925,                0.93815,                 1.3244,                0.83209,                0.69728,                0.82527,                0.73022,                0.52864,                0.82696,                 1.0517,              0.0012544,              0.0012544,              0.0012544
                     52,                0.72934,                   0.93,                 1.3452,                0.75523,                0.81624,                0.85091,                0.75475,                0.47326,                0.76613,                 1.0287,              0.0012462,              0.0012462,              0.0012462
                     53,                0.65344,                0.88607,                 1.2902,                0.70999,                0.85258,                0.83794,                0.74032,                 0.4919,                0.81035,                  1.058,              0.0012379,              0.0012379,              0.0012379
                     54,                 0.6904,                0.93253,                 1.3233,                 0.7916,                0.76093,                0.85047,                0.76122,                0.47778,                0.75747,                 1.0373,              0.0012297,              0.0012297,              0.0012297
                     55,                0.67296,                0.87178,                 1.3025,                0.71429,                0.83146,                0.87748,                0.78475,                0.49157,                0.74362,                 1.0265,              0.0012214,              0.0012214,              0.0012214
                     56,                0.65905,                0.89426,                  1.291,                0.77687,                0.77099,                0.83546,                0.74651,                0.48302,                0.81001,                   1.04,              0.0012132,              0.0012132,              0.0012132
                     57,                 0.6678,                0.87814,                 1.2944,                0.77411,                0.74329,                0.87411,                0.77485,                0.50639,                 0.8037,                 1.0438,              0.0012049,              0.0012049,              0.0012049
                     58,                 0.6619,                0.87449,                  1.298,                0.72768,                0.74482,                0.86752,                0.77207,                 0.5037,                0.77058,                 1.0172,              0.0011967,              0.0011967,              0.0011967
                     59,                0.68388,                0.89196,                  1.312,                0.75297,                0.81287,                 0.8745,                0.76783,                0.54937,                 0.7343,                 1.0659,              0.0011884,              0.0011884,              0.0011884
                     60,                0.66918,                0.85632,                 1.2989,                0.77865,                0.82156,                0.87245,                0.78955,                0.47022,                0.71945,                  1.034,              0.0011802,              0.0011802,              0.0011802
                     61,                0.66128,                0.88193,                 1.3011,                0.61175,                0.86094,                0.86666,                0.77153,                 0.4774,                0.86139,                 1.0256,              0.0011719,              0.0011719,              0.0011719
                     62,                0.64954,                0.84815,                 1.2909,                 0.6139,                0.88089,                0.87021,                0.78037,                0.47098,                0.80714,                 1.0106,              0.0011636,              0.0011636,              0.0011636
                     63,                0.66263,                0.84338,                 1.2906,                0.72338,                0.79991,                0.84387,                0.74618,                0.49881,                0.82507,                 1.0481,              0.0011554,              0.0011554,              0.0011554
                     64,                0.66157,                0.87999,                 1.2811,                0.60192,                   0.84,                0.83173,                0.74274,                0.49054,                 1.0707,                 1.0297,              0.0011471,              0.0011471,              0.0011471
                     65,                0.65786,                0.84537,                 1.2974,                0.83859,                0.73814,                0.87645,                0.77428,                0.51835,                0.76199,                 1.0489,              0.0011389,              0.0011389,              0.0011389
                     66,                0.63158,                0.82138,                  1.264,                0.51739,                 0.8743,                 0.8085,                0.72419,                0.47667,                 1.0536,                 1.0213,              0.0011306,              0.0011306,              0.0011306
                     67,                0.66023,                0.82762,                 1.2962,                0.75855,                0.83744,                0.85526,                0.75186,                0.50388,                0.73253,                 1.0591,              0.0011224,              0.0011224,              0.0011224
                     68,                0.63328,                0.83991,                  1.266,                0.83368,                0.80162,                0.86054,                0.77873,                0.45715,                0.70503,                 1.0198,              0.0011141,              0.0011141,              0.0011141
                     69,                0.62984,                0.82319,                 1.2686,                0.74425,                0.86028,                0.87502,                0.77894,                0.47194,                0.73298,                 1.0111,              0.0011059,              0.0011059,              0.0011059
                     70,                0.66836,                0.84399,                 1.3028,                0.84104,                0.75374,                0.86912,                0.77944,                0.48978,                0.71769,                 1.0212,              0.0010976,              0.0010976,              0.0010976
                     71,                0.62345,                0.80168,                 1.2717,                 0.7272,                0.82441,                0.88466,                0.79622,                0.47459,                0.70625,                 1.0217,              0.0010894,              0.0010894,              0.0010894
                     72,                0.63636,                0.80196,                 1.2613,                0.84756,                0.76798,                0.88348,                0.79741,                0.46801,                0.67724,                 1.0267,              0.0010811,              0.0010811,              0.0010811
                     73,                 0.6102,                0.77979,                 1.2407,                0.77213,                0.83721,                0.89185,                0.80218,                0.46592,                0.69833,                 1.0116,              0.0010729,              0.0010729,              0.0010729
                     74,                0.63892,                0.79354,                 1.2672,                0.75831,                 0.7747,                0.86438,                0.76187,                0.50855,                0.80409,                 1.0483,              0.0010646,              0.0010646,              0.0010646
                     75,                0.62007,                0.80133,                 1.2498,                0.63796,                0.91925,                0.87044,                0.77932,                 0.4725,                0.77587,                 1.0079,              0.0010564,              0.0010564,              0.0010564
                     76,                0.63069,                0.79616,                 1.2597,                0.75815,                0.82703,                0.87838,                0.79194,                0.48283,                0.69015,                 1.0216,              0.0010481,              0.0010481,              0.0010481
                     77,                0.63645,                0.82175,                 1.2789,                0.71559,                0.80498,                 0.8976,                0.81151,                0.48598,                0.77818,                 1.0322,              0.0010399,              0.0010399,              0.0010399
                     78,                0.61727,                0.78025,                 1.2595,                 0.8073,                0.75278,                0.88312,                0.80013,                0.45534,                0.69444,                 1.0089,              0.0010316,              0.0010316,              0.0010316
                     79,                0.61599,                 0.7886,                  1.242,                0.68806,                0.90364,                0.90236,                0.81209,                0.46223,                0.69508,                 1.0149,              0.0010234,              0.0010234,              0.0010234
                     80,                0.62973,                0.78191,                  1.265,                0.70845,                 0.7985,                0.88932,                0.79316,                0.48355,                0.77266,                 1.0161,              0.0010151,              0.0010151,              0.0010151
                     81,                0.62914,                0.79907,                 1.2648,                0.82007,                0.77432,                0.88429,                0.78837,                0.47284,                0.70696,                 1.0201,              0.0010069,              0.0010069,              0.0010069
                     82,                0.63036,                0.78728,                 1.2739,                0.85877,                0.78732,                0.89938,                0.81018,                0.47134,                0.63795,                 1.0211,             0.00099862,             0.00099862,             0.00099862
                     83,                0.61793,                0.76844,                 1.2516,                0.84293,                0.75734,                0.89238,                0.79756,                0.48227,                0.69809,                 1.0183,             0.00099036,             0.00099036,             0.00099036
                     84,                0.60205,                0.74163,                 1.2414,                0.77941,                0.90329,                0.91836,                0.81755,                0.49897,                0.57161,                 1.0268,             0.00098211,             0.00098211,             0.00098211
                     85,                0.61938,                0.78166,                 1.2622,                0.85423,                 0.8112,                0.90314,                0.81087,                0.45205,                0.62259,                 1.0025,             0.00097386,             0.00097386,             0.00097386
                     86,                0.62021,                0.77822,                 1.2571,                0.81115,                0.81154,                0.89381,                0.80951,                0.46564,                0.66515,                 1.0113,             0.00096561,             0.00096561,             0.00096561
