                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.60244,                0.72889,                 1.1983,                0.77882,                0.85962,                 0.9332,                0.84197,                0.45958,                0.64381,                0.97851,              0.0010481,              0.0010481,              0.0010481
                     78,                0.61637,                0.73508,                 1.2111,                0.87525,                0.82232,                0.93106,                0.84985,                0.43301,                0.58139,                0.96206,              0.0010399,              0.0010399,              0.0010399
                     79,                0.59462,                0.72436,                 1.1853,                0.82676,                0.87609,                0.91108,                0.83017,                0.44144,                0.59028,                0.97462,              0.0010316,              0.0010316,              0.0010316
                     80,                0.60445,                0.72467,                 1.2033,                0.84949,                0.86637,                  0.928,                0.82384,                0.48989,                0.55623,                 1.0026,              0.0010234,              0.0010234,              0.0010234
                     81,                0.60537,                0.72526,                 1.1963,                0.77644,                0.92961,                0.91788,                 0.8165,                0.49783,                0.60895,                 1.0076,              0.0010151,              0.0010151,              0.0010151
                     82,                0.58949,                0.71039,                 1.1954,                0.88698,                0.85954,                0.92598,                0.83015,                0.48214,                0.55583,                0.98389,              0.0010069,              0.0010069,              0.0010069
                     83,                0.58002,                0.71272,                  1.174,                0.71954,                0.81296,                0.89887,                0.81564,                0.44355,                0.82701,                0.96434,             0.00099862,             0.00099862,             0.00099862
                     84,                 0.6128,                0.76528,                 1.1979,                0.80703,                0.88363,                0.92246,                0.83384,                0.44567,                0.55439,                0.96865,             0.00099036,             0.00099036,             0.00099036
                     85,                 0.5922,                0.69056,                 1.1825,                0.83703,                0.85587,                0.91787,                0.82411,                0.45653,                0.59456,                0.98343,             0.00098211,             0.00098211,             0.00098211
                     86,                0.58587,                0.70038,                 1.1804,                0.88008,                0.80168,                 0.9139,                0.82271,                0.44352,                0.62218,                 0.9689,             0.00097386,             0.00097386,             0.00097386
                     87,                0.60058,                0.69403,                  1.196,                0.83757,                0.86995,                0.92058,                0.82663,                0.47218,                0.57483,                0.97812,             0.00096561,             0.00096561,             0.00096561
                     88,                0.59385,                0.69869,                 1.1805,                0.84319,                0.90782,                0.93184,                0.84489,                 0.4516,                0.51117,                0.96645,             0.00095736,             0.00095736,             0.00095736
                     89,                0.57465,                0.67732,                 1.1706,                0.84302,                0.88101,                0.92831,                 0.8387,                0.44092,                0.59483,                0.96752,             0.00094911,             0.00094911,             0.00094911
                     90,                 0.5833,                0.68816,                 1.1786,                0.87913,                0.88827,                0.93809,                0.85195,                0.44366,                0.52242,                0.97496,             0.00094085,             0.00094085,             0.00094085
                     91,                0.59133,                0.72324,                 1.1881,                0.82906,                 0.8988,                0.92291,                0.83942,                0.43917,                0.55343,                0.96845,              0.0009326,              0.0009326,              0.0009326
                     92,                 0.5913,                0.71896,                 1.1787,                0.84138,                0.82341,                0.93597,                0.85504,                0.44932,                0.63116,                0.97135,             0.00092435,             0.00092435,             0.00092435
                     93,                0.57777,                0.70552,                 1.1711,                0.85555,                0.90026,                0.92672,                0.84117,                0.45007,                0.52848,                0.97726,              0.0009161,              0.0009161,              0.0009161
                     94,                0.57458,                 0.6703,                 1.1764,                0.79844,                0.81698,                0.87415,                 0.7904,                  0.439,                0.74382,                0.96478,             0.00090785,             0.00090785,             0.00090785
                     95,                 0.5942,                0.69649,                  1.195,                0.84501,                0.86306,                0.94219,                0.85757,                 0.4568,                0.54088,                0.97028,              0.0008996,              0.0008996,              0.0008996
                     96,                0.56154,                0.66218,                 1.1591,                0.87982,                0.84068,                0.92739,                0.84661,                0.43511,                  0.538,                0.97174,             0.00089134,             0.00089134,             0.00089134
