                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.62585,                0.79008,                 1.2496,                0.75157,                0.92099,                0.84861,                0.76165,                0.53206,                0.82813,                 1.1297,              0.0012627,              0.0012627,              0.0012627
                     52,                0.61302,                0.76073,                 1.2536,                0.83227,                0.89382,                0.87561,                0.78039,                0.51392,                0.70618,                 1.1198,              0.0012544,              0.0012544,              0.0012544
                     53,                0.61756,                0.76469,                 1.2416,                0.77089,                0.87454,                0.90158,                0.79902,                0.54322,                0.68041,                 1.1283,              0.0012462,              0.0012462,              0.0012462
                     54,                0.62258,                0.75651,                 1.2612,                0.79595,                0.87411,                0.87522,                  0.789,                0.54905,                0.77872,                 1.1223,              0.0012379,              0.0012379,              0.0012379
                     55,                0.64631,                0.76181,                 1.2744,                0.80988,                0.86588,                0.88259,                0.79267,                0.53851,                0.74789,                 1.1197,              0.0012297,              0.0012297,              0.0012297
                     56,                0.59081,                0.72082,                 1.2242,                 0.8078,                0.92814,                0.90036,                0.80909,                0.53003,                0.65119,                 1.1236,              0.0012214,              0.0012214,              0.0012214
                     57,                0.62996,                0.77181,                  1.259,                0.84179,                0.80577,                0.85534,                0.75946,                0.56349,                0.82423,                 1.1509,              0.0012132,              0.0012132,              0.0012132
                     58,                0.63316,                0.71344,                 1.2692,                0.80802,                0.89841,                0.91024,                 0.8055,                0.51988,                0.65483,                 1.1398,              0.0012049,              0.0012049,              0.0012049
                     59,                0.62218,                0.73725,                 1.2517,                  0.864,                0.86855,                0.91413,                0.81758,                 0.5668,                0.63514,                 1.1407,              0.0011967,              0.0011967,              0.0011967
                     60,                0.59958,                0.73669,                 1.2322,                0.84777,                0.86047,                0.88008,                0.79732,                0.52312,                0.72823,                  1.116,              0.0011884,              0.0011884,              0.0011884
                     61,                0.58125,                 0.6875,                 1.2134,                0.88208,                0.85912,                0.89038,                0.78412,                0.54915,                0.68867,                 1.1399,              0.0011802,              0.0011802,              0.0011802
                     62,                0.60418,                0.69721,                 1.2403,                0.74137,                0.88464,                0.88042,                0.77532,                0.55245,                0.83407,                  1.152,              0.0011719,              0.0011719,              0.0011719
                     63,                0.60703,                0.70534,                 1.2372,                 0.8934,                0.83608,                0.88164,                0.79835,                0.50887,                0.68584,                  1.138,              0.0011636,              0.0011636,              0.0011636
                     64,                0.58621,                 0.6957,                 1.2247,                0.88547,                0.79517,                 0.8977,                 0.8072,                0.53574,                0.68775,                 1.1288,              0.0011554,              0.0011554,              0.0011554
                     65,                0.59366,                0.70701,                 1.2372,                 0.8203,                0.82418,                0.88428,                0.78678,                0.53048,                0.72609,                 1.1525,              0.0011471,              0.0011471,              0.0011471
                     66,                0.58073,                0.69122,                 1.2105,                0.74239,                0.81885,                0.86421,                0.78184,                0.54062,                0.82462,                 1.1392,              0.0011389,              0.0011389,              0.0011389
                     67,                 0.5914,                0.70606,                 1.2286,                0.79119,                0.81874,                0.86674,                0.78685,                 0.4991,                0.72971,                 1.1075,              0.0011306,              0.0011306,              0.0011306
                     68,                0.59347,                0.67236,                 1.2171,                0.85033,                0.93518,                0.90642,                0.81299,                0.50483,                0.62231,                 1.1342,              0.0011224,              0.0011224,              0.0011224
                     69,                0.59376,                0.67782,                 1.2247,                  0.865,                0.90209,                0.89915,                0.81793,                0.52752,                0.59299,                 1.1118,              0.0011141,              0.0011141,              0.0011141
                     70,                0.57694,                0.67315,                 1.2045,                0.76877,                 0.8842,                 0.8923,                0.80928,                0.50379,                0.82239,                 1.1279,              0.0011059,              0.0011059,              0.0011059
                     71,                0.58231,                0.68161,                 1.2202,                 0.8894,                0.89006,                0.89824,                0.81067,                0.49769,                0.62859,                 1.1209,              0.0010976,              0.0010976,              0.0010976
                     72,                0.58466,                0.65849,                 1.2277,                0.85894,                 0.8877,                0.90191,                 0.8026,                0.52353,                0.63591,                 1.1269,              0.0010894,              0.0010894,              0.0010894
                     73,                0.58341,                0.69592,                 1.2063,                0.877199,                0.85965,                0.87505,                0.78064,                0.54664,                0.68687,                 1.1448,              0.0010811,              0.0010811,              0.0010811
