                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2798,                 1.6412,                 2.3931,                0.73931,                0.83646,                0.86954,                 0.7856,                0.88593,                  1.224,                 1.8787,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.2333,                 1.5987,                 2.3831,                0.72443,                0.74813,                0.81001,                0.72662,                0.91702,                 1.5981,                 1.8967,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.3219,                 1.6426,                 2.4692,                0.80332,                0.78423,                0.87298,                0.78836,                0.96907,                 1.2537,                 1.8853,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.2412,                 1.5744,                 2.4021,                0.79524,                0.83579,                0.89858,                0.80524,                0.96752,                 1.1224,                 1.9301,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.2835,                 1.5245,                 2.4128,                0.82032,                0.80883,                0.90307,                0.81873,                0.90289,                   1.13,                 1.9017,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.2412,                 1.4874,                 2.3837,                0.73591,                0.79754,                0.87172,                0.78636,                0.88828,                 1.4512,                 1.8859,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.2715,                 1.5541,                 2.4254,                0.75927,                0.82695,                 0.8604,                0.76892,                0.95759,                 1.4064,                 1.9227,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.2469,                 1.5577,                 2.4104,                0.78967,                0.80969,                0.83014,                0.74555,                0.94311,                 1.4626,                  1.907,              0.0010564,              0.0010564,              0.0010564
                     76,                  1.257,                 1.5398,                 2.3883,                0.73999,                0.78842,                0.87629,                0.79793,                0.90742,                 1.5237,                  1.886,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.2592,                 1.5524,                 2.4106,                0.85292,                0.74838,                0.86413,                0.78482,                0.87322,                 1.2625,                 1.8704,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.2311,                 1.4801,                 2.3864,                0.71199,                0.81775,                0.87053,                0.79424,                 0.8876,                 1.3921,                 1.8804,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.2243,                 1.4429,                 2.3665,                0.77314,                0.76653,                0.87479,                0.80079,                0.90949,                 1.4879,                 1.8663,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.2347,                 1.5145,                 2.3918,                0.83776,                0.83474,                0.89048,                0.80241,                0.92775,                 1.1307,                 1.8778,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.2403,                   1.48,                 2.3851,                0.77479,                0.78469,                 0.8511,                0.76791,                0.90671,                 1.3958,                 1.9009,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.2363,                 1.4994,                  2.396,                0.81672,                0.78254,                0.88314,                0.79486,                0.94668,                 1.1434,                 1.8871,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.2495,                 1.5376,                 2.3832,                0.79699,                 0.8159,                0.86561,                0.78224,                0.92895,                 1.2106,                 1.9053,             0.00099036,             0.00099036,             0.00099036
                     84,                  1.236,                 1.4647,                 2.3777,                0.87841,                0.75023,                 0.8722,                 0.7895,                0.90434,                 1.2821,                 1.8991,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.2519,                 1.5388,                 2.3936,                0.73493,                 0.7733,                0.86128,                0.78192,                0.89737,                 1.4767,                 1.9098,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.2398,                  1.518,                 2.3887,                0.80124,                0.86191,                0.88068,                0.79806,                0.89561,                 1.1754,                 1.8833,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.2424,                 1.4301,                 2.3817,                0.82894,                0.80713,                0.88865,                0.80721,                 0.8983,                 1.3047,                 1.8835,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.2444,                 1.5257,                 2.3814,                0.77152,                0.79109,                0.83577,                0.75841,                0.88151,                 1.4177,                 1.8831,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.1882,                 1.4006,                 2.3523,                0.84513,                0.81737,                0.89288,                0.81443,                0.89516,                 1.1387,                 1.8789,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.2353,                  1.421,                 2.3753,                0.82626,                0.78264,                0.89879,                0.81324,                0.89048,                 1.1891,                 1.8861,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.2123,                 1.4744,                 2.3678,                0.83703,                0.76167,                0.86819,                0.78913,                0.87066,                 1.2381,                 1.8766,             0.00092435,             0.00092435,             0.00092435
                     92,                 1.1862,                 1.4218,                 2.3279,                0.80094,                0.83819,                0.88262,                0.80238,                0.87192,                 1.1683,                  1.878,              0.0009161,              0.0009161,              0.0009161
                     93,                  1.198,                 1.4143,                 2.3633,                0.86154,                0.83445,                0.89909,                0.81946,                 0.8719,                 1.0423,                 1.8694,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.2296,                 1.3803,                 2.3842,                0.81101,                 0.8307,                0.87868,                0.79854,                  0.868,                 1.1763,                 1.8707,              0.0008996,              0.0008996,              0.0008996
                     95,                 1.1909,                 1.4196,                 2.3454,                0.72699,                0.78865,                0.85988,                0.78431,                0.85385,                 1.3789,                 1.8572,             0.00089134,             0.00089134,             0.00089134
                     96,                 1.2299,                 1.4562,                 2.3767,                0.85403,                0.81783,                0.90333,                0.82051,                0.86082,                 1.0224,                 1.8694,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.2927,                 1.4796,                 2.4297,                0.89087,                0.79965,                0.89689,                0.81816,                0.87694,                 1.1355,                  1.888,             0.00087484,             0.00087484,             0.00087484
                     98,                  1.209,                 1.4389,                 2.3465,                 0.8723,                0.84883,                0.89756,                0.80348,                0.93975,                 1.1345,                 1.9385,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.1802,                 1.3927,                 2.3529,                0.82098,                0.80273,                0.90435,                0.82156,                0.89373,                 1.1732,                 1.8682,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.2012,                 1.4457,                 2.3658,                0.89517,                0.82178,                0.88799,                0.80216,                0.91162,                 1.1075,                 1.8971,             0.00085009,             0.00085009,             0.00085009
                    101,                  1.178,                 1.3844,                 2.3081,                0.78764,                0.86404,                0.90308,                0.82399,                0.87413,                 1.0098,                 1.8625,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.1131,                  1.318,                 2.2903,                 0.8776,                0.83399,                0.91092,                0.81966,                0.91854,                 1.0367,                 1.9136,             0.00083358,             0.00083358,             0.00083358
                    103,                 1.2113,                 1.3985,                 2.3463,                0.87802,                0.82869,                0.91204,                0.83421,                0.85832,                 1.0982,                 1.8563,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.1781,                 1.3364,                  2.341,                0.86117,                0.85249,                0.91645,                0.84373,                0.86649,                0.97467,                  1.863,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.1766,                 1.3308,                 2.3412,                0.84341,                0.84602,                 0.9206,                0.83724,                0.88081,                 1.0347,                 1.8676,             0.00080883,             0.00080883,             0.00080883
                    106,                  1.147,                 1.3175,                 2.3163,                0.85961,                0.87624,                0.91075,                0.83021,                0.87478,                0.99201,                 1.8798,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.1669,                 1.3118,                 2.3184,                0.78283,                0.85161,                0.89236,                0.82207,                0.84974,                 1.1536,                 1.8522,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.1363,                 1.3505,                 2.3076,                0.87152,                0.85294,                0.90616,                 0.8324,                0.84149,                 1.0748,                 1.8513,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.1331,                 1.3012,                 2.3129,                0.87715,                0.87033,                0.91521,                0.83404,                0.85723,                0.96643,                 1.8553,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.1618,                 1.2867,                 2.3278,                0.88746,                0.83279,                0.90897,                0.82971,                0.87499,                0.97613,                 1.8545,             0.00076757,             0.00076757,             0.00076757
                    111,                 1.1514,                 1.3178,                 2.3147,                0.80137,                0.86826,                0.90822,                0.82143,                0.89885,                  1.158,                 1.8799,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.1569,                 1.3025,                 2.3286,                0.85542,                0.77277,                0.91586,                0.83586,                0.85997,                 1.1951,                  1.851,             0.00075107,             0.00075107,             0.00075107
                    113,                 1.1583,                 1.3366,                 2.3415,                0.79787,                0.84479,                0.90703,                0.83099,                0.84391,                 1.1512,                 1.8444,             0.00074282,             0.00074282,             0.00074282
                    114,                  1.161,                 1.3579,                 2.3193,                 0.8734,                0.84669,                0.90914,                0.82767,                0.85605,                 1.0367,                 1.8492,             0.00073456,             0.00073456,             0.00073456
                    115,                 1.1331,                 1.2982,                 2.2968,                0.85036,                0.82661,                0.92682,                0.84897,                 0.8591,                 1.0053,                 1.8366,             0.00072631,             0.00072631,             0.00072631
                    116,                 1.1192,                 1.2623,                 2.2839,                0.86515,                0.88832,                0.92288,                0.83853,                0.84104,                0.95006,                 1.8484,             0.00071806,             0.00071806,             0.00071806
                    117,                 1.1159,                 1.2632,                 2.3016,                0.85126,                 0.8196,                0.91961,                0.84372,                0.85261,                 1.1044,                 1.8418,             0.00070981,             0.00070981,             0.00070981
                    118,                  1.126,                 1.2988,                  2.303,                0.91101,                0.84958,                0.93109,                0.85537,                0.84606,                0.88837,                 1.8368,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.1205,                 1.3166,                 2.3124,                0.88571,                0.88366,                 0.9209,                0.84456,                0.82935,                0.97262,                 1.8509,             0.00069331,             0.00069331,             0.00069331
                    120,                 1.1445,                 1.2714,                 2.3345,                0.83858,                 0.8249,                0.90049,                0.82457,                0.86798,                  1.134,                 1.8559,             0.00068505,             0.00068505,             0.00068505
                    121,                 1.1226,                 1.2483,                 2.3049,                0.89684,                0.81846,                0.91219,                0.83566,                 0.8632,                0.98311,                 1.8563,              0.0006768,              0.0006768,              0.0006768
                    122,                 1.1127,                 1.2783,                 2.2841,                0.90614,                 0.8326,                0.89649,                0.81843,                0.85586,                 1.0921,                 1.8726,             0.00066855,             0.00066855,             0.00066855
                    123,                 1.0631,                 1.2669,                 2.2456,                0.80813,                0.77737,                0.88505,                0.81188,                0.84198,                 1.2611,                 1.8495,              0.0006603,              0.0006603,              0.0006603
                    124,                 1.0958,                 1.2562,                 2.2824,                0.86403,                0.85608,                0.88781,                0.81449,                0.85291,                 1.1843,                 1.8624,             0.00065205,             0.00065205,             0.00065205
                    125,                 1.0695,                 1.2013,                 2.2748,                0.85408,                 0.8163,                 0.9072,                0.82243,                0.88804,                 1.0599,                 1.8589,              0.0006438,              0.0006438,              0.0006438
                    126,                 1.1446,                 1.2458,                 2.3149,                 0.8716,                0.80498,                0.89859,                0.81995,                0.85512,                 1.0533,                  1.856,             0.00063554,             0.00063554,             0.00063554
                    127,                 1.0939,                 1.1906,                  2.281,                0.89986,                0.85977,                0.91305,                 0.8373,                0.84662,                0.97215,                 1.8314,             0.00062729,             0.00062729,             0.00062729
                    128,                 1.1448,                 1.2493,                 2.3237,                0.85128,                  0.897,                0.92024,                0.84588,                0.84409,                0.98026,                 1.8431,             0.00061904,             0.00061904,             0.00061904
                    129,                 1.1006,                 1.2164,                 2.2978,                0.83985,                 0.8585,                0.92054,                0.84455,                0.82377,                0.97546,                 1.8294,             0.00061079,             0.00061079,             0.00061079
                    130,                 1.0947,                 1.1894,                 2.2673,                0.90054,                0.83775,                0.91655,                0.84886,                0.83176,                0.91616,                 1.8351,             0.00060254,             0.00060254,             0.00060254
                    131,                 1.0823,                 1.2159,                 2.2548,                 0.8985,                 0.8345,                0.91184,                0.83168,                0.86842,                0.96991,                 1.8618,             0.00059429,             0.00059429,             0.00059429
                    132,                 1.0887,                 1.1887,                  2.245,                0.85574,                0.82329,                0.91515,                 0.8425,                0.85886,                 1.0286,                 1.8448,             0.00058603,             0.00058603,             0.00058603
                    133,                 1.0834,                 1.1903,                 2.2595,                0.85708,                0.85314,                0.89905,                0.82648,                0.84576,                 1.0251,                 1.8595,             0.00057778,             0.00057778,             0.00057778
                    134,                  1.126,                 1.2313,                 2.3072,                0.85724,                0.88531,                0.91124,                0.83894,                0.85613,                0.97626,                 1.8595,             0.00056953,             0.00056953,             0.00056953
                    135,                 1.0667,                 1.1494,                 2.2466,                0.90473,                0.85898,                0.91686,                0.84498,                0.84288,                0.93351,                 1.8523,             0.00056128,             0.00056128,             0.00056128
                    136,                 1.0861,                 1.1357,                 2.2662,                0.87494,                0.85949,                0.91577,                0.84146,                 0.8478,                0.94182,                 1.8658,             0.00055303,             0.00055303,             0.00055303
                    137,                 1.1041,                 1.2247,                 2.2685,                0.84345,                0.87737,                0.91653,                 0.8341,                0.84492,                 1.0082,                 1.8512,             0.00054478,             0.00054478,             0.00054478
                    138,                 1.0843,                 1.2166,                 2.2756,                0.84649,                0.88674,                0.92706,                0.85561,                 0.8253,                0.93083,                 1.8365,             0.00053652,             0.00053652,             0.00053652
                    139,                 1.1194,                 1.1681,                 2.2882,                0.92247,                0.86722,                0.93248,                0.86067,                0.82993,                0.85691,                 1.8423,             0.00052827,             0.00052827,             0.00052827
                    140,                 1.0695,                 1.1745,                 2.2497,                0.84943,                 0.8706,                0.91236,                0.84181,                0.83408,                 1.0564,                 1.8492,             0.00052002,             0.00052002,             0.00052002
                    141,                 1.1176,                 1.2161,                 2.3032,                0.81309,                0.89196,                0.91669,                0.84584,                0.83517,                0.97598,                 1.8419,             0.00051177,             0.00051177,             0.00051177
                    142,                 1.0777,                 1.1835,                  2.276,                0.85683,                0.88366,                0.91295,                0.83932,                0.84007,                0.95494,                  1.843,             0.00050352,             0.00050352,             0.00050352
                    143,                 1.0432,                 1.1638,                 2.2252,                0.89543,                0.86329,                0.90975,                0.83448,                0.84879,                0.98418,                 1.8361,             0.00049527,             0.00049527,             0.00049527
                    144,                 1.0801,                  1.179,                 2.2664,                 0.8541,                0.86216,                0.91622,                0.83604,                0.85218,                 1.0048,                 1.8477,             0.00048701,             0.00048701,             0.00048701
                    145,                 1.0623,                 1.1413,                 2.2452,                0.90583,                0.87545,                0.92981,                0.84939,                0.83348,                0.89923,                 1.8449,             0.00047876,             0.00047876,             0.00047876
                    146,                 1.0889,                 1.1913,                 2.2817,                0.90015,                0.86854,                0.92813,                0.85144,                0.80819,                0.89462,                 1.8283,             0.00047051,             0.00047051,             0.00047051
                    147,                 1.1066,                 1.1627,                 2.2904,                0.85573,                0.89452,                0.93245,                0.85334,                0.83972,                0.89646,                 1.8338,             0.00046226,             0.00046226,             0.00046226
                    148,                 1.0618,                  1.101,                 2.2432,                0.85485,                0.88564,                0.92678,                0.85264,                0.83945,                0.90362,                 1.8373,             0.00045401,             0.00045401,             0.00045401
                    149,                 1.0808,                 1.1517,                 2.2623,                0.91969,                0.84366,                0.92931,                0.85779,                0.83457,                0.91192,                 1.8328,             0.00044576,             0.00044576,             0.00044576
                    150,                 1.0937,                 1.1478,                 2.2813,                0.90983,                0.85011,                0.91315,                0.83088,                0.82903,                 1.0333,                 1.8447,              0.0004375,              0.0004375,              0.0004375
                    151,                 1.0535,                 1.2003,                 2.2514,                0.86779,                0.86799,                0.91838,                0.84121,                0.84062,                0.97226,                 1.8403,             0.00042925,             0.00042925,             0.00042925
